New Code,OldCode,ScientificName,Taxa,CommonName,Unknown,Rodent,Shrubland-affiliated
AB,"BS, BT",Amphispiza bilineata,Bird,black-throated sparrow,0,0,0
AH,AH,Ammospermophilus harrisi,Rodent-not censused,,0,0,0
AS,"AS, GS",Ammodramus savannarum,Bird,,0,0,0
BA,BA,Baiomys taylori,Rodent,Baiomys taylori,0,1,1
CB,CW,Campylorhynchus brunneicapillus,Bird,cactus wren,0,0,0
CM,LB,Calamospiza melanocorys,Bird,lark bunting,0,0,0
CQ,SQ,Callipepla squamata,Bird,scaled quail,0,0,0
CS,CS,Crotalus scutalatus,Reptile,snake,0,0,0
CT,CT,Cnemidophorus tigris,Reptile,lizard,0,0,0
CU,CU,Cnemidophorus uniparens,Reptile,lizard,0,0,0
CV,CV,Crotalus viridis,Reptile,rattle snake,0,0,0
DM,DM,Dipodomys merriami,Rodent,,0,1,0
DO,"DO, D0",Dipodomys ordii,Rodent,,0,1,0
DS,DS,Dipodomys spectabilis,Rodent,,0,1,0
DX,"D, D?, DU, DZ, UD",Dipodomys sp.,Rodent,Dipo spp.,1,1,0
EO,,Eumeces obsoletus,Reptile,great plains skink,0,0,0
GS,GS,Gambelia silus,Reptile,lizard,0,0,0
NA,NA,Neotoma albigula,Rodent,,0,1,0
NX,N,Neotoma sp.,Rodent,Neotoma sp? or ?,1,1,0
OL,OL,Onychomys leucogaster,Rodent,,0,1,0
OT,OT,Onychomys torridus,Rodent,,0,1,0
OX,"O, OZ",Onychomys sp.,Rodent,Onychomys spp.,1,1,0
PB,PB,Chaetodipus baileyi,Rodent,Chaetodipus baileyi,0,1,1
PC,"GT, US",Pipilo chlorurus,Bird,green towhee,0,0,0
PE,PE,Peromyscus eremicus,Rodent,,0,1,1
PF,PF,Perognathus flavus,Rodent,,0,1,1
PG,VS,Pooecetes gramineus,Bird,versper sparrow,0,0,0
PH,PH,Perognathus hispidus,Rodent,Chaetodipus hispidus,0,1,1
PI,"CI, PI",Chaetodipus intermedius,Rodent,Chaetodipus intermedius,0,1,1
PL,PL,Peromyscus leucopus,Rodent,,0,1,1
PM,PM,Peromyscus maniculatus,Rodent,,0,1,1
PP,"PP, CP",Chaetodipus penicillatus,Rodent,Chaetodipus penicillatus,0,1,1
PU,"BR, TB",Pipilo fuscus,Bird,brown towhee,0,0,0
PX,"PX, UP",Chaetodipus sp.,Rodent,Perognathus sp.,1,1,1
RF,RF,Reithrodontomys fulvescens,Rodent,,0,1,1
RM,RM,Reithrodontomys megalotis,Rodent,,0,1,1
RO,,Reithrodontomys montanus,Rodent,,0,1,1
RX,"RE, RX",Reithrodontomys sp.,Rodent,,1,1,1
SA,SA,Sylvilagus audubonii,Rabbit,,0,0,0
SB,BS,Spizella breweri,Bird,brewer sparrow,0,0,0
SC,SC,Sceloporus clarki,Reptile,,0,0,0
SF,SF,Sigmodon fulviventer,Rodent,,0,1,0
SH,SH,Sigmodon hispidus,Rodent,,0,1,0
SO,"SO, S0",Sigmodon ochrognathus,Rodent,,0,1,0
SS,SS,Spermophilus spilosoma,Rodent-not censused,,0,0,0
ST,ST,Spermophilus tereticaudus,Rodent-not censused,,0,0,0
SU,SU,Sceloporus undulatus,Reptile,,0,0,0
SX,,Sigmodon sp.,Rodent,cotton rat,1,1,0
UL,"UL, LI, LS",Lizard sp.,Reptile,unidentified lizard,1,0,0
UP,"T, TO",Pipilo sp.,Bird,towhee,1,0,0
UR,"P, QQ, UR",Rodent sp.,Rodent,unidentified rodent,1,1,0
US,,Sparrow sp.,Bird,unidentified sparrow,1,0,0
XX,XX,Zero Trapping Success,,,1,0,0
ZL,WC,Zonotrichia leucophrys,Bird,white crowned sparrow,0,0,0
ZM,"MD, M",Zenaida macroura,Bird,morning dove,0,0,0
